"","time","country","reported_cases","reported_cases_cumulative","predicted_infections_mean_cumulative","predicted_infections_lower_CI_95_cumulative","predicted_infections_higher_CI_95_cumulative","predicted_infections_mean","predicted_infections_lower_CI_95","predicted_infections_higher_CI_95_cumulative","reported_deaths","reported_deaths_cumulative","estimated_deaths_mean_cumulative","estimated_deaths_lower_CI_95_cumulative","estimated_deaths_higher_CI_95_cumulative","estimated_deaths_mean","estimated_deaths_lower_CI_95","estimated_deaths_higher_CI_95","mean_time_varying_reproduction_number_R(t)","time_varying_reproduction_number_R(t)_lower_CI_95","time_varying_reproduction_number_R(t)_higher_CI_95"
"1",2020-02-21,"Denmark",0,0,37.1756181174012,12.668349419729,83.1783414019736,37.1756181174012,12.668349419729,83.1783414019736,0,0,3.71756181174012e-14,1.2668349419729e-14,8.31783414019736e-14,3.71756181174012e-14,1.2668349419729e-14,8.31783414019736e-14,4.30220878525537,3.46348052357198,5.29016341922632
"2",2020-02-22,"Denmark",0,0,74.3512362348023,25.3366988394581,166.356682803947,37.1756181174012,12.668349419729,83.1783414019736,0,0,3.75691460512035e-07,1.32047078008768e-07,8.10937994616571e-07,3.75691423336417e-07,1.32047065340419e-07,8.1093791143823e-07,4.30220878525537,3.46348052357198,5.29016341922632
"3",2020-02-23,"Denmark",0,0,111.526854352203,38.0050482591871,249.535024205921,37.1756181174012,12.668349419729,83.1783414019736,0,0,1.57790398173052e-05,5.54597675696594e-06,3.4059392363584e-05,1.54033483567931e-05,5.41392967895717e-06,3.32484543689674e-05,4.30220878525537,3.46348052357198,5.29016341922632
"4",2020-02-24,"Denmark",0,0,148.702472469605,50.6733976789162,332.713365607894,37.1756181174012,12.668349419729,83.1783414019736,0,0,0.000120972638351502,4.25191550522832e-05,0.000261122007566288,0.000105193598534197,3.69731782953173e-05,0.000227062615202704,4.30220878525537,3.46348052357198,5.29016341922632
"5",2020-02-25,"Denmark",0,0,185.878090587006,63.3417470986452,415.891707009868,37.1756181174012,12.668349419729,83.1783414019736,0,0,0.000545503946721654,0.000191732338886956,0.00117748184749149,0.000424531308370152,0.000149213183834673,0.0009163598399252,4.30220878525537,3.46348052357198,5.29016341922632
"6",2020-02-26,"Denmark",0,0,223.053708704407,76.0100965183743,499.070048411842,37.1756181174012,12.668349419729,83.1783414019736,0,0,0.00168159481089098,0.000591042664476383,0.0036297580916807,0.00113609086416933,0.000399310325589426,0.00245227624418921,4.30220878525537,3.46348052357198,5.29016341922632
"7",2020-02-27,"Denmark",1,1,304.301356579726,111.344254261284,653.740035734142,81.2476478753193,35.3341577429099,154.6699873223,0,0,0.00427273855764225,0.00150177127412925,0.00922279686687017,0.00259114374675127,0.000910728609652869,0.00559303877518947,4.30205074713842,3.46322189400424,5.29009198916111
"8",2020-02-28,"Denmark",0,1,403.599770595018,155.265125184594,841.215629387919,99.2984140152919,43.9208709233094,187.475593653777,0,0,0.00932172498103164,0.00327644300445978,0.0201208500410252,0.00504898642338939,0.00177467173033053,0.010898053174155,4.30199248863347,3.46314239095551,5.29005844855038
"9",2020-02-29,"Denmark",1,2,528.951477739708,213.029621914412,1071.55283923315,125.35170714469,57.7644967298186,230.337209845235,0,0,0.0180584506176235,0.00634996593098976,0.0389672347687114,0.0087367256365919,0.00307352292652997,0.0188463847276862,4.30192123374442,3.46304623054155,5.29001675695714
"10",2020-03-01,"Denmark",1,3,690.284200492057,291.494025315205,1358.53680774041,161.332722752349,78.464403400793,286.983968507252,0,0,0.0321706640937899,0.0113317754459604,0.0693435867853001,0.0141122134761663,0.00498180951497063,0.0303763520165888,4.30183108849912,3.4629285223708,5.2899615491219
"11",2020-03-02,"Denmark",1,4,899.215772016744,398.546236013949,1719.2348458669,208.931571524687,107.052210698744,360.69803812649,0,0,0.0536437814583729,0.0189629477872558,0.115341062271396,0.021473117364583,0.00763117234129545,0.045997475486096,4.30171475636347,3.46278285484586,5.28988631529783
"12",2020-03-03,"Denmark",1,5,1170.19189056801,544.41949870877,2173.80451264818,270.97611855127,145.873262694821,454.569666781284,0,0,0.0849978247450317,0.0302679807532633,0.182123256730973,0.0313540432866589,0.0113050329660075,0.0667821944595766,4.30156368796534,3.46260180180588,5.28978316566323
"13",2020-03-04,"Denmark",3,8,1521.81276212432,743.195999869949,2745.79446659579,351.620871556309,198.776501161179,571.989953947612,0,0,0.129378473675963,0.0466406655241957,0.275751990394362,0.0443806489309315,0.0163726847709324,0.0936287336633892,4.30136722335101,3.46237651455676,5.2896417145129
"14",2020-03-05,"Denmark",2,10,1978.28923899184,1010.25031233669,3466.94393554948,456.476476867519,267.054312466741,721.149468953693,0,0,0.190537721119256,0.0697045873159919,0.403380343806331,0.061159247443293,0.0230639217917962,0.127628353411969,4.30111159607136,3.46209615191815,5.28944781854171
"15",2020-03-06,"Denmark",10,20,2571.20435665937,1371.52468294348,4379.38148557498,592.915117667524,361.274370606793,912.437550025492,0,0,0.273408763218449,0.101920775761272,0.573853919909107,0.0828710420991927,0.0322161884452799,0.170473576102776,4.30077883625738,3.46174727522488,5.28918208564189
"16",2020-03-07,"Denmark",3,23,3341.77270347171,1857.3949039534,5538.49924104398,770.568346812339,485.870221009914,1159.117755469,0,0,0.384264414348846,0.146448172173658,0.797843304590906,0.110855651130398,0.0445273964123865,0.223989384681799,4.30034543750551,3.46131317349418,5.28881792522332
"17",2020-03-08,"Denmark",8,31,4343.79090448201,2504.79118736297,7010.6865415134,1002.01820101031,647.396283409573,1472.18730046943,0,0,0.531098988660543,0.207928245637523,1.08834344308268,0.146834574311696,0.0614800734638651,0.29050013849177,4.29978064060033,3.46077305950875,5.28831889661368
"18",2020-03-09,"Denmark",7,38,5647.50196348853,3360.33724583973,8903.25184963686,1303.71105900652,855.546058476763,1892.56530812346,0,0,0.724377396876834,0.292035748836567,1.46216375032021,0.193278408216291,0.0841075031990438,0.37382030723753,4.29904418529533,3.46010108228359,5.28763507649052
"19",2020-03-10,"Denmark",75,113,7344.65450969307,4492.77237139545,11340.2383353531,1697.15254620453,1132.43512555571,2436.98648571619,0,0,0.977410668441573,0.407071062050975,1.93951090238353,0.253033271564739,0.115035313214408,0.47734715206332,4.29808335722342,3.45926510358528,5.28669808476173
"20",2020-03-11,"Denmark",151,264,9555.12117144346,5989.86764390866,14500.5164079765,2210.4666617504,1497.09527251321,3160.27807262342,0,0,1.30758133408167,0.563853822123668,2.5434300374347,0.330170665640094,0.156782760072693,0.603919135051178,4.2968291105444,3.45822518111858,5.28514600096192
"21",2020-03-12,"Denmark",252,516,11051.2145566006,7047.12512203386,16628.6203295119,1496.09338515712,1057.2574781252,2128.10392153539,0,0,1.73761657067681,0.778031551716627,3.30570024715914,0.430035236595146,0.214177729592959,0.762270209724431,2.24796903049534,1.64897979588764,3.07662543483231
"22",2020-03-13,"Denmark",160,676,12820.5725125617,8342.59547564948,19025.8642859047,1769.3579559611,1295.47035361562,2397.24395639279,0,0,2.29724536080475,1.06925189814216,4.26685832716099,0.559628790127935,0.291220346425537,0.961158080001854,2.10125245002448,1.59503418462177,2.71260515617571
"23",2020-03-14,"Denmark",128,804,14929.8672400931,9887.760464688,21865.0108848196,2109.2947275314,1545.16498903852,2839.14659891498,0,0,3.02413559111907,1.46614924378741,5.47871354859157,0.726890230314325,0.396897345645242,1.21185522143058,2.10060895786629,1.59452757131602,2.71192230577365
"24",2020-03-15,"Denmark",23,827,17357.3257519463,11652.9036188502,25149.745528185,2427.45851185326,1765.14315416215,3284.73464336537,0,0,3.96537943843229,2.00168602074746,7.00463637687505,0.941243847313214,0.535536776960054,1.52592282828348,2.09984017650693,1.59394460524556,2.71107645799578
"25",2020-03-16,"Denmark",48,875,20110.2754505129,13627.1762773907,28919.9943089845,2752.94969856655,1974.2726585406,3770.24878079949,1,1,5.17569225672483,2.71772932361064,8.92030815425943,1.21031281829254,0.716043302863182,1.91567177738438,2.09895303664076,1.59339806337399,2.71006110532927
"26",2020-03-17,"Denmark",57,932,23217.9625559225,15803.1739525822,33260.3993970191,3107.6871054096,2175.99767519147,4340.40508803456,0,1,6.71974775920544,3.66365374160361,11.3092044656589,1.54405550248061,0.945924417992967,2.38889631139942,2.09794384407089,1.59284768534481,2.70885349677978
"27",2020-03-18,"Denmark",92,1024,24477.3780454475,16783.6925650963,34889.4443571104,1259.41548952504,980.518612514079,1629.04496009134,3,4,8.66602016665701,4.89669852553518,14.2296297399874,1.94627240745158,1.23304478393157,2.92042527432853,0.755400286768094,0.648230157619033,0.862561720313923
"28",2020-03-19,"Denmark",91,1115,25863.6308715615,17866.8271349415,36673.2737147692,1386.25282611393,1083.13456984519,1783.82935765878,0,4,11.0899118424461,6.47906799173641,17.7753432510217,2.4238916757891,1.58236946620124,3.5457135110343,0.755235504376404,0.648070422074054,0.862410971848471
"29",2020-03-20,"Denmark",36,1151,27311.8618197751,18996.2192344241,38545.7873893497,1448.23094821366,1129.39209948263,1872.51367458055,2,6,14.073416311871,8.4919177338616,22.0608322123514,2.98350446942487,2.01284974212519,4.28548896132966,0.755054100796037,0.64789338244018,0.862237959392917
"30",2020-03-21,"Denmark",104,1255,28768.4260399511,20129.3220471988,40428.6268294839,1456.56422017599,1133.10281277468,1882.83944013421,3,9,17.6956653138848,11.0123914489486,27.1554712199308,3.62224900201376,2.52047371508696,5.09463900757946,0.75486453440579,0.647708677562904,0.86205099631098
"31",2020-03-22,"Denmark",71,1326,30200.8860498183,21241.2494448522,42277.6379153915,1432.46000986719,1111.92739765345,1849.01108590759,4,13,22.0338187496191,14.1063816436168,33.1402772873122,4.33815343573434,3.09399019466822,5.9848060673814,0.754673800884542,0.64752433538458,0.861854433410229
"32",2020-03-23,"Denmark",69,1395,31592.7360359,22320.2810496649,44075.2581130987,1391.84998608174,1079.03160481267,1797.62019770711,0,13,27.1554726952068,17.8458150088285,40.0729560346641,5.12165394558772,3.73943336521169,6.93267874735189,0.754486130152985,0.647345232616902,0.861601367619432
"33",2020-03-24,"Denmark",65,1460,32937.0623768064,23359.1219997608,45815.2526969623,1344.32634090639,1038.84095009588,1739.99458386368,11,24,33.1104000269939,22.2679920342685,47.9515655065435,5.95492733178704,4.42217702543999,7.87860947187941,0.75430367569887,0.647173828997717,0.861351035412096
"34",2020-03-25,"Denmark",131,1591,34232.0192743699,24352.6181299424,47498.5648155405,1294.95689756348,993.496130181613,1683.31211857817,8,32,39.9379897994391,27.4241859221492,56.8701240967555,6.82758977244522,5.1561938878807,8.91855859021198,0.754127341824081,0.64701109517446,0.861104526802921
"35",2020-03-26,"Denmark",133,1724,35478.1496628798,25299.0144960323,49126.5735988727,1246.13038850991,946.396366089847,1628.00878333215,2,34,47.6553541112691,33.3411703855875,66.8499976694882,7.71736431183006,5.91698446343836,9.97987357273273,0.753957373465684,0.646857194821352,0.860863007619029
"36",2020-03-27,"Denmark",153,1877,36676.9765571708,26197.6718030649,50699.7532300903,1198.82689429097,898.65730703269,1573.17963121764,7,41,56.2550248890899,40.0061377767916,77.8851869793366,8.59967077782071,6.66496739120404,11.0351893098484,0.753793705074481,0.646711901234017,0.860626549228581
"37",2020-03-28,"Denmark",169,2046,37830.3349862478,27054.5900316128,52220.2100270233,1153.35842907699,856.918228547811,1520.45679693305,11,52,65.7150318845412,47.4123403981879,89.8980642838545,9.46000699545133,7.4062026213963,12.0128773045178,0.753636143809524,0.646574824391565,0.860395087179826
"38",2020-03-29,"Denmark",155,2201,38940.0897112879,27868.9415584359,53693.3664432493,1109.75472504011,814.351526823117,1473.156416226,13,65,75.9878983363043,55.5167678717739,102.8456521673,10.2728664517631,8.10442747358609,12.9475878834451,0.753484456272614,0.64644552349376,0.860168514421139
"39",2020-03-30,"Denmark",194,2395,40008.0347383267,28648.7689088415,55120.1024345243,1067.94502703882,779.827350405667,1426.73599127494,7,72,87.0200915593546,64.2889190194436,116.642208353359,11.0321932230503,8.77215114766965,13.7965561860593,0.753338405071568,0.646323557331798,0.859946717882549
"40",2020-03-31,"Denmark",182,2577,41035.8693511472,29390.5113590044,56503.9497294939,1027.83461282047,741.742450162899,1383.84729496957,5,77,98.7485888476894,73.699666368269,131.213926250659,11.7284972883348,9.41074734882544,14.5717178973004,0.753197761787543,0.646208503825755,0.859729589868755
"41",2020-04-01,"Denmark",283,2860,42025.2014498137,30099.1950071983,57846.7015395387,989.332098666531,708.683648193885,1342.75181004486,13,90,111.091785120687,83.6399397414376,146.472008628142,12.3431962729972,9.94027337316856,15.2580823774825,0.753062310038424,0.646099965645541,0.859517029735755
"42",2020-04-02,"Denmark",247,3107,42977.5576556808,30772.6294845109,59150.5810641726,952.356205867025,673.43447731258,1303.87952463389,14,104,123.95992589451,94.0594992403599,162.291182865741,12.8681407738236,10.4195594989223,15.8191742375987,0.752931845025301,0.64599757027796,0.859308942639241
"43",2020-04-03,"Denmark",279,3386,43894.3929411355,31410.3573971128,60420.7929530544,916.835285454715,637.727912601859,1270.21188888178,19,123,137.271597612156,104.89442526133,178.596097160153,13.3116717176461,10.8349260209698,16.3049142944121,0.752806172219373,0.6459009683082,0.859105237926157
"44",2020-04-04,"Denmark",371,3757,44777.0980401693,32016.306345582,61661.6165478288,882.705099033879,605.948948469246,1240.8235947744,16,139,150.93662679335,116.071342012228,195.24661363969,13.6650291811934,11.1769167508982,16.6505164795378,0.752685106120955,0.645809831421761,0.858905827915756
"45",2020-04-05,"Denmark",320,4077,45627.004805795,32588.7513169136,62868.9684433345,849.90676562569,572.444971331601,1207.3518955057,22,161,164.885136905996,127.527116411029,212.158489239958,13.9485101126466,11.455774398801,16.9118756002679,0.752568469311315,0.645723850616957,0.858710627138252
"46",2020-04-06,"Denmark",292,4369,46445.3901210884,33132.3661307942,64043.1099062271,818.385315293399,543.614813880555,1174.1414628926,18,179,179.028725077718,139.20744647784,229.247486739879,14.1435881717215,11.6803300668113,17.0889974999209,0.752456091772538,0.645642734713506,0.858526460115116
"47",2020-04-07,"Denmark",312,4681,47233.4789091288,33647.64620467,65186.9077758245,788.08878804039,515.280073875857,1143.79786959737,8,187,193.298366383817,151.063350191188,246.444291528441,14.2696413060991,11.8559037133481,17.1968047885619,0.752347810395041,0.645566209111692,0.858372879516716
"48",2020-04-08,"Denmark",390,5071,47992.4466153375,34136.6821741978,66302.8860722059,758.967706208719,489.035969527797,1115.97829638145,16,203,207.608968814226,163.004589716293,263.601199057169,14.3106024304093,11.9412395251052,17.1569075287274,0.752243468601334,0.645494014733924,0.858222548541182
"49",2020-04-09,"Denmark",331,5402,48723.4213854268,34600.3503024116,67392.0519755141,730.974770089213,463.668128213759,1089.16590330818,15,218,221.904512239137,174.973510024185,280.676093741841,14.2955434249105,11.9689203078915,17.0748946846721,0.752142916037347,0.645425907092717,0.858075401613383
"50",2020-04-10,"Denmark",233,5635,49427.4860606714,35039.6239943438,68455.3874582795,704.064675244603,439.273691932231,1063.33548276542,19,237,236.12631432041,186.921971194523,297.543390359417,14.2218020812733,11.9484611703376,16.8672966175767,0.752046008302359,0.64536165544714,0.857931374345097
"51",2020-04-11,"Denmark",184,5819,50105.6800523473,35455.7837416995,69492.4978652316,678.19399167596,416.159747355643,1037.11040695208,10,247,250.229773724405,198.806528281517,314.20359465992,14.1034594039946,11.8845570869943,16.6602043005025,0.751952606701824,0.645301042024415,0.85779040351767
"52",2020-04-12,"Denmark",177,5996,50759.0011250944,35850.043127124,70508.7700477412,653.321072747103,394.259385424584,1016.27218250959,13,260,264.159024824234,210.570543233588,330.612058760295,13.929251099829,11.7640149520715,16.4084641003749,0.751862578015134,0.645243861292975,0.857652427066616
"53",2020-04-13,"Denmark",178,6174,51388.4071031266,36221.5602888388,71500.5906350239,629.405978032228,371.517161714757,991.820587282701,13,273,277.880818433933,222.167620602441,346.746081146399,13.7217936096995,11.5970773688527,16.1340223861045,0.751775794274536,0.645189919279131,0.857493174935025
"54",2020-04-14,"Denmark",144,6318,51994.8175060174,36573.4819423112,72468.8509666816,606.410402890763,351.921653472388,968.260331657751,12,285,291.362516235844,233.551155934389,362.591441840086,13.4816978019105,11.3835353319474,15.8453606936864,0.751692132553455,0.645139032922577,0.85733679374062
"55",2020-04-15,"Denmark",193,6511,52579.1151178125,36905.916172082,73415.1097370877,584.297611795084,332.434229770799,946.258770406126,14,299,304.571828758234,244.687550187788,378.117011826274,13.20931252239,11.1363942533994,15.5255699861889,0.751611474763379,0.645091029467667,0.857186803710098
